"","X","metric","Threshold70","Threshold90","Threshold99","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"21",3,"CSCI_SP_Tim_0.79_Positive",8.78488375425264,2.97986149972944,0.313897277049404,307,"Positive","CSCI","CSCI",0.79,"SP_Tim"
"22",4,"CSCI_DS_Dur_WS_0.79_Negative",-40.0665334986489,-13.6835887386314,-1.83082072216997,230,"Negative","CSCI","CSCI",0.79,"DS_Dur_WS"
"23",5,"CSCI_SP_Dur_0.79_Negative",-30.8026154870038,-10.5402851234232,-1.51055173845863,251,"Negative","CSCI","CSCI",0.79,"SP_Dur"
"24",6,"CSCI_SP_Tim_0.79_Negative",-31.5815685276059,-10.6376385409611,-1.51061425344902,102,"Negative","CSCI","CSCI",0.79,"SP_Tim"
"25",7,"CSCI_DS_Mag_50_0.79_Positive",3.35394346981153,1.25337459734912,0.173650878543006,224,"Positive","CSCI","CSCI",0.79,"DS_Mag_50"
"26",8,"CSCI_FA_Mag_0.79_Positive",23.0481781452212,9.26098247201102,1.88252913078953,241,"Positive","CSCI","CSCI",0.79,"FA_Mag"
"27",9,"CSCI_Peak_10_0.79_Positive",NA,NA,NA,130,"Positive","CSCI","CSCI",0.79,"Peak_10"
"28",10,"CSCI_Peak_2_0.79_Positive",NA,NA,NA,52,"Positive","CSCI","CSCI",0.79,"Peak_2"
"29",11,"CSCI_SP_Mag_0.79_Positive",197.757954064977,69.0547430354523,7.26299977831565,226,"Positive","CSCI","CSCI",0.79,"SP_Mag"
"30",12,"CSCI_Wet_BFL_Mag_50_0.79_Positive",20.2394558565609,7.02016249489999,0.753481779538011,194,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
"31",13,"CSCI_DS_Mag_50_0.79_Negative",-3.86884190328942,-1.63986722925227,-0.500101432678331,36,"Negative","CSCI","CSCI",0.79,"DS_Mag_50"
"32",14,"CSCI_FA_Mag_0.79_Negative",-60.1278472263444,-20.0552171592847,-2.59810357454994,19,"Negative","CSCI","CSCI",0.79,"FA_Mag"
"33",15,"CSCI_Peak_10_0.79_Negative",-2703.44870281185,-880.987686109092,-105.272137987557,130,"Negative","CSCI","CSCI",0.79,"Peak_10"
"34",16,"CSCI_Peak_2_0.79_Negative",-1774.21415488147,-586.933326708289,-63.241272948618,208,"Negative","CSCI","CSCI",0.79,"Peak_2"
"35",17,"CSCI_SP_Mag_0.79_Negative",-785.023289886992,-969.077346257611,-1041.73009206832,34,"Negative","CSCI","CSCI",0.79,"SP_Mag"
"36",18,"CSCI_Wet_BFL_Mag_50_0.79_Negative",-98.0855294560251,-31.9925233641535,-3.19782796986256,66,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
